Tweet	Runnynose
最悪だ。風邪ひいた。寒気と頭痛、だるいし。ぼーっとするし。明日休めるかな。	0
妻が花粉症らしいが、まさか微熱が出る事もあるとは思わなかった。体が過剰反応して疲れてしまうらしい。	1
鼻水と風邪ってなんか関係あるよね。	1
この頭痛の感じ絶対風邪だー。	0
ところで頭痛がひどいんですけど誰か助けて	0
風邪の方はどうぞお休みください。	0
昨日から熱が出て、のども腫れている。いくらでも眠れる。明日も仕事は休むことにする。	0
熱が出てリンパが腫れた	0
スペインの風邪はすごいらしいよー。	0
風邪で高熱が出てて咳が止まらん。辛い。	0
テレビのニュース見たら、東京に感染者いるって。熱でるわ。	0
なんか熱ある気するけど気のせいだと思ってテレビ見てる	0
最近何時も起きるとお腹が痛くて、トイレに行くと下痢なんだ。	0
頭痛が三日ぐらい続いてるのでそろそろ医師に診てもらったほうがいいかもしれない。	0
犬と遊んでたら鼻づまり治った！	0
花粉症に効果があると噂の眼鏡を買ったぞ	0
咳が出るときはマスクをするのがエチケットでしょう。	0
頭痛の症状ソロソロ治らないかな・・。	0
咳をし過ぎると腹筋痛くなるし頭まで痛くなるでしょう？	0
最悪、風邪ひいたっぽい。	0
下手な奴の歌聴くと耳が曲がるわ。きつくて頭痛がするっつーの。	0
頭痛がきつくて行けないとは相手に言いにくい・・・	0
鼻水が出すぎて、止まるのかどうか不安になるよ。	1
相手が話が通じない人で同じこと３回くらい繰り返しても全然理解してくれないし、本当に頭痛がした。あんな宇宙人みたいな人いるんだね	0
花粉症には、トマトを食べる療法があるって本当かな。	0
家に帰ると、娘が熱を出していたよ。リンパも腫れてるし。明日病院に行こう。	0
来春は花粉が少ない見通しだから、花粉症もやわらぐだろう。	0
昨日食った丼にあたったぽいわ。下痢〜	0
咳を抑える薬が必要だ。	0
妻が花粉症らしくひっきりなしに鼻をかんでいるが、微熱もあるようで風邪だろと諭すも、まさか、と一言。相変わらず強がりだな。	1
鼻づまりってもうなんも感じなくて無理だ。	1
熱あるけど夫の弁当つくんなきゃ	0
頭痛が激しいから、今日はもう帰ることにした。	0
下痢をすると思い出すことがある。幼い頃日本代表が出ているサッカーの試合を見ていて爆笑した時のことだ。何故なのかさっぱりわからない。	0
契約を取れないと頭痛が・・・	0
ニュースで誰かが、東京では感染症で熱高い人が多いって言ってた。	0
一日中咳をしてたらすごく疲れた。	0
最近のゆとりは咳のエチケットすら知らんのか	0
やばい、お腹痛い、下痢かも	0
下痢気味でお腹が痛い。	0
微熱があるんだけど花粉症の症状じゃないよね？	1
下痢でお腹の調子が悪い。	0
朝から頭痛。飲みすぎた。	0
下痢になっちゃって最近具合が悪いよー。	0
スペインで風邪が流行っているみたい。	0
娘も嫁も、高熱で今日は会社休んで看病。	0
インフルのワクチンなんて型が外れたら役に立たないから御粗末だよな。	0
咳や痰が出て、風邪薬で対処していたものの、高熱が出始めたので病院に行ってみたら、全く違う病気と診断された女性のブログを読みました。	0
起きたらお腹痛くてやばいなって思ってたら、下痢だった。	0
犬が風邪ひいたみたいで鼻水垂らしてる・・・	0
遂に花粉症になったかもしれない！	1
下痢のせいで仕事に集中できない。	0
アトピー患者は花粉症になりやすいの？	0
さっさと鼻づまりを解消したいよー。	1
この季節は風っぴきも熱出す子も多いね	0
痰が絡むようになってきたから意識して手洗い。	0
鼻風邪に効く薬を教えてください。	1
花粉症が治ったと思っていたが再発した。	1
風邪で眠いからって、ソファーでうたた寝すると悪化する。	0
今年は花粉少ないから花粉症の人は幸せ	0
朝から下痢気味。今日は大事な仕事があるのにこれはやばいで御座る。	0
咳が酷いからすごく疲れる。	0
スペイン旅行で風邪をもらってきたっぽい	0
遂に花粉症が再発しちゃったよ。かなり久し振りだなあ。	1
今日は薬のおかげで、なんか鼻づまりも止まる気配がする。	1
花粉症対策に使う時間がもったいない	0
巫女さんを見ると体が熱っぽくなる。	0
熱出てるって言って保健室で携帯見てる	0
犬は大好きなのに触るとすぐ鼻づまり。	1
天気頭痛がきた。こんなにきついとは思わなかったな	0
最近お腹が弱くて下痢気味なんだよね・・・	0
咳がすごいから、手洗いをしっかりしなきゃ。	0
下痢って英語で何て言うの、って祖母に聞いたら爆笑された	0
これから会う相手のことを考えると頭痛がするよ	0
リンパ腫れてるし、熱もあるし完璧風邪ひいた。	0
今年一番のひどい咳・痰だなー	0
来春は檜の花粉少ないらしいから花粉症も楽かなと思って対策全然してない。	0
熱があるけど問題ないとか、本当に大丈夫だろうか	0
頭痛には風呂がいいんだってほんとかな？	0
風邪治りかけだからまだ今一だな。頭痛もするし辛い。	0
咳のし過ぎで腹筋割れた	0
鼻づまりがひどくてやばい。なんかやんなってきた。	1
鼻水垂れてる姿を見られて、嬉しい人はいないだろう	1
花粉症には薬が処方されるけど、持続時間は長いけど眠くなるからなあ。	0
鼻づまりになったのが治ったと思ったら、なんか今度は鼻水が出るようになった	1
大人になってからのおたふく風邪ってやばいらしいよ。	0
きつい頭痛が襲っている僕は今どこにいるんだろう？	0
熱は下がったけど、咳が止まらなくてもういい加減腹筋が痛いよー。	0
せっかくのスペインなのに風邪ひいた・・・。	0
兄がインフルになったらしい。	0
咳を止める薬を飲むと副作用で頭がぼーっとしてくるからこの状況で飲むというのは微妙だ。	0
風邪っぽい、最悪だ。本格的な寒気、頭痛。	0
インフルにかかってしまい異常にのどが渇く。	0
熱があるから眠れるか微妙だ	0
春だけじゃなく秋にも花粉症があるらしい。	0
秋なのに花粉症がひどいんだけど・・・。	1
